date, time, chamber,TA,Null,CO2L,DiffP,TS,Null,SoilM,CO2Flow,CO2CChamb,DPCChamb,LCO2slope,ValveTime,CondWater,TBox,doorcnt
2014-05-27,00:00:10, 1 ,-51.1 , 1 , 458.5 , 81.9 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:00:10, 2 ,-51.1 , 1 , 462.4 , 85.2 , 1 , 1 ,-7.1 , 0 , 456.8 , 13.6 , 1.009506 , 0 , 0 , 20 , 0 
2014-05-27,00:00:10, 3 , 16.2 , 1 , 461.7 , 81.9 , 1 , 1 ,-7.1 , 0 , 455.6 , 13.4 , 0.521704 , 0 , 0 , 18.1 , 0 
2014-05-27,00:00:10, 4 , 16.8 , 1 , 453.6 , 73.6 , 1 , 1 ,-7.1 , 0 , 448.6 , 13.3 , 1.014657 , 0 , 0 ,-51.1 , 0 
2014-05-27,00:00:10, 5 , 150 , 1 , 458.8 , 74.2 , 1 , 1 ,-7.1 , 0 , 453.3 , 13.3 , 1.017324 , 0 , 4.6 , 19.7 , 0 
2014-05-27,00:00:10, 6 , 16.1 , 1 , 455.7 , 88 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 0 , 18 , 0 
2014-05-27,00:00:10, 7 , 13.9 , 1 , 467.2 , 58.7 , 1 , 1 ,-7.1 , 474.3 , 465 , 15.6 , 0.5007772 , 2 , 3.62 , 16.3 , 0 
2014-05-27,00:00:10, 8 ,-51.1 , 1 , 483.4 , 85.9 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.8 , 0 
2014-05-27,00:00:10, 9 ,-51.1 , 1 , 465.8 , 66.4 , 1 , 1 ,-7.1 , 344 , 462.7 , 14.9 , 1.003837 , 2 , 4.08 , 16.8 , 0 
2014-05-27,00:00:10, 10 , 16.6 , 1 , 464.8 , 79.2 , 1 , 1 ,-7.1 , 0 , 461.5 , 15.2 , 1.003917 , 0 , 0 , 19.7 , 0 
2014-05-27,00:00:10, 11 , 13.3 , 1 , 469.6 , 57.1 , 1 , 1 ,-7.1 , 0 , 467.4 , 15.5 , 1.0121 , 0 , 0 , 20.1 , 0 
2014-05-27,00:00:10, 12 ,-13.5 , 1 , 492.6 , 89.6 , 1 , 1 ,-7.1 , 0 , 490.8 , 15.2 , 1.007322 , 0 , 0 , 19.9 , 0 
2014-05-27,00:00:10, 13 , 458 , 97.8 , 12.7 , 102.2 , 12.2 , 12.4 , 19.8 , 0 , 0 , 461.5 , 0 ,
2014-05-27,00:01:10, 1 ,-51.1 , 1 , 459.1 , 81.5 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:01:10, 2 ,-51.1 , 1 , 462.4 , 85.4 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.3 , 1.011477 , 0 , 0 , 19.9 , 0 
2014-05-27,00:01:10, 3 , 16.1 , 1 , 462.2 , 81.9 , 1 , 1 ,-7.1 , 0 , 455.6 , 13.4 , 0.521704 , 0 , 3.36 , 18.1 , 0 
2014-05-27,00:01:10, 4 , 16.7 , 1 , 453.6 , 73.3 , 1 , 1 ,-7.1 , 0 , 448.6 , 13.3 , 1.014657 , 0 , 0 ,-51.1 , 0 
2014-05-27,00:01:10, 5 , 150 , 1 , 459.8 , 74 , 1 , 1 ,-7.1 , 0 , 453.3 , 13.3 , 1.017324 , 0 , 0 , 19.7 , 0 
2014-05-27,00:01:10, 6 , 16.1 , 1 , 456.2 , 88 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 0 , 18 , 0 
2014-05-27,00:01:10, 7 , 13.8 , 1 , 466.7 , 58.7 , 1 , 1 ,-7.1 , 710.1 , 465 , 15.6 , 0.5007772 , 2 , 3.62 , 16.3 , 0 
2014-05-27,00:01:10, 8 ,-51.1 , 1 , 483.9 , 85.7 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.8 , 0 
2014-05-27,00:01:10, 9 ,-51.1 , 1 , 466.8 , 66.4 , 1 , 1 ,-7.1 , 404.2 , 462.7 , 14.9 , 1.003837 , 2 , 4.08 , 16.8 , 0 
2014-05-27,00:01:10, 10 , 16.6 , 1 , 465.8 , 79 , 1 , 1 ,-7.1 , 0 , 461.5 , 15.2 , 1.003917 , 0 , 0 , 19.7 , 0 
2014-05-27,00:01:10, 11 , 13.2 , 1 , 469.6 , 57.1 , 1 , 1 ,-7.1 , 0 , 467.4 , 15.5 , 1.0121 , 0 , 4.5 , 20.1 , 0 
2014-05-27,00:01:10, 12 ,-13.5 , 1 , 493.6 , 89.3 , 1 , 1 ,-7.1 , 0 , 490.8 , 15.2 , 1.007322 , 0 , 0 , 19.9 , 0 
2014-05-27,00:01:10, 13 , 462.7 , 98.2 , 12.7 , 102.2 , 12.2 , 12.4 , 19.9 , 0 , 0 , 461.5 , 0 ,
2014-05-27,00:02:09, 1 ,-51.1 , 1 , 460.1 , 81.7 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:02:09, 2 ,-51.1 , 1 , 464.3 , 85 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.3 , 1.011477 , 0 , 0 , 20 , 0 
2014-05-27,00:02:09, 3 , 16.2 , 1 , 463.3 , 81.7 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.2 , 0.5226415 , 0 , 0 , 18.1 , 0 
2014-05-27,00:02:09, 4 , 16.8 , 1 , 454.6 , 73.3 , 1 , 1 ,-7.1 , 0 , 448.6 , 13.3 , 1.014657 , 0 , 4.64 ,-51.1 , 0 
2014-05-27,00:02:09, 5 , 150 , 1 , 459.8 , 74 , 1 , 1 ,-7.1 , 0 , 453.3 , 13.3 , 1.017324 , 0 , 0 , 19.7 , 0 
2014-05-27,00:02:09, 6 , 16.1 , 1 , 457.8 , 87.7 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 0 , 18 , 0 
2014-05-27,00:02:09, 7 , 13.8 , 1 , 467.2 , 58.7 , 1 , 1 ,-7.1 , 715.1 , 465 , 15.6 , 0.5007772 , 2 , 0 , 16.3 , 0 
2014-05-27,00:02:09, 8 ,-51.1 , 1 , 483.9 , 85.7 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.8 , 0 
2014-05-27,00:02:09, 9 ,-51.1 , 1 , 466.8 , 66.4 , 1 , 1 ,-7.1 , 408.2 , 462.7 , 14.9 , 1.003837 , 2 , 0 , 16.8 , 0 
2014-05-27,00:02:09, 10 , 16.5 , 1 , 465.8 , 79 , 1 , 1 ,-7.1 , 0 , 461.5 , 15.2 , 1.003917 , 0 , 0 , 19.7 , 0 
2014-05-27,00:02:09, 11 , 13.1 , 1 , 470.6 , 56.9 , 1 , 1 ,-7.1 , 0 , 467.4 , 15.5 , 1.0121 , 0 , 0 , 20.1 , 0 
2014-05-27,00:02:09, 12 ,-13.5 , 1 , 493.6 , 89.5 , 1 , 1 ,-7.1 , 0 , 490.8 , 15.2 , 1.007322 , 0 , 0 , 19.8 , 0 
2014-05-27,00:02:09, 13 , 462.7 , 98.3 , 12.7 , 102.2 , 12.2 , 12.4 , 19.9 , 0 , 0 , 461.5 , 0 ,
2014-05-27,00:03:10, 1 ,-51.1 , 1 , 462.1 , 81.4 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:03:10, 2 ,-51.1 , 1 , 464.3 , 85.4 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.3 , 1.011477 , 0 , 0 , 19.9 , 0 
2014-05-27,00:03:10, 3 , 16.2 , 1 , 464.6 , 81.9 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.2 , 0.5226415 , 0 , 0 , 18.1 , 0 
2014-05-27,00:03:10, 4 , 16.7 , 1 , 455.6 , 73.3 , 1 , 1 ,-7.1 , 0 , 455.6 , 13.1 , 1.017103 , 0 , 0 ,-51.1 , 0 
2014-05-27,00:03:10, 5 , 150 , 1 , 460.8 , 74 , 1 , 1 ,-7.1 , 0 , 453.3 , 13.3 , 1.017324 , 0 , 0 , 19.7 , 0 
2014-05-27,00:03:10, 6 , 16.1 , 1 , 457.8 , 87.8 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 3.91 , 18 , 0 
2014-05-27,00:03:10, 7 , 13.8 , 1 , 468.7 , 58.5 , 1 , 1 ,-7.1 , 710.1 , 465 , 15.6 , 0.5007772 , 2 , 3.62 , 16.2 , 0 
2014-05-27,00:03:10, 8 ,-51.1 , 1 , 483.9 , 85.7 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.7 , 0 
2014-05-27,00:03:10, 9 ,-51.1 , 1 , 467.8 , 66.2 , 1 , 1 ,-7.1 , 406.2 , 462.7 , 14.9 , 1.003837 , 2 , 4.08 , 16.7 , 0 
2014-05-27,00:03:10, 10 , 16.5 , 1 , 466.8 , 79 , 1 , 1 ,-7.1 , 0 , 461.5 , 15.2 , 1.003917 , 0 , 0 , 19.7 , 0 
2014-05-27,00:03:10, 11 , 13.1 , 1 , 470.6 , 56.9 , 1 , 1 ,-7.1 , 0 , 467.4 , 15.5 , 1.0121 , 0 , 4.5 , 20.1 , 0 
2014-05-27,00:03:10, 12 ,-13.5 , 1 , 493.6 , 89.5 , 1 , 1 ,-7.1 , 0 , 490.8 , 15.2 , 1.007322 , 0 , 0 , 19.8 , 0 
2014-05-27,00:03:10, 13 , 455.6 , 98.3 , 12.7 , 102.2 , 12.2 , 12.4 , 19.8 , 0 , 0 , 461.5 , 0 ,
2014-05-27,00:04:10, 1 ,-51.1 , 1 , 461.1 , 81.7 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:04:10, 2 ,-51.1 , 1 , 465.3 , 85.2 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.3 , 1.011477 , 0 , 0 , 19.9 , 0 
2014-05-27,00:04:10, 3 , 16.2 , 1 , 465.2 , 81.9 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.2 , 0.5226415 , 0 , 0 , 18.1 , 0 
2014-05-27,00:04:10, 4 , 16.8 , 1 , 457.7 , 73.4 , 1 , 1 ,-7.1 , 0 , 455.6 , 13.1 , 1.017103 , 0 , 0 ,-51.1 , 0 
2014-05-27,00:04:10, 5 , 150 , 1 , 460.8 , 74 , 1 , 1 ,-7.1 , 0 , 453.3 , 13.3 , 1.017324 , 0 , 0 , 19.7 , 0 
2014-05-27,00:04:10, 6 , 16.1 , 1 , 458.8 , 87.8 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 0 , 18 , 0 
2014-05-27,00:04:10, 7 , 13.8 , 1 , 469.2 , 58.7 , 1 , 1 ,-7.1 , 710.1 , 465 , 15.6 , 0.5007772 , 2 , 3.62 , 16.2 , 0 
2014-05-27,00:04:10, 8 ,-51.1 , 1 , 484.4 , 86 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.7 , 0 
2014-05-27,00:04:10, 9 ,-51.1 , 1 , 468.8 , 66.4 , 1 , 1 ,-7.1 , 410.2 , 462.7 , 14.9 , 1.003837 , 2 , 4.08 , 16.7 , 0 
2014-05-27,00:04:10, 10 , 16.4 , 1 , 466.8 , 79 , 1 , 1 ,-7.1 , 0 , 461.5 , 15.2 , 1.003917 , 0 , 0 , 19.6 , 0 
2014-05-27,00:04:10, 11 , 13 , 1 , 470.6 , 56.9 , 1 , 1 ,-7.1 , 0 , 467.4 , 15.5 , 1.0121 , 0 , 0 , 20.1 , 0 
2014-05-27,00:04:10, 12 ,-13.5 , 1 , 493.6 , 89.5 , 1 , 1 ,-7.1 , 0 , 490.8 , 15.2 , 1.007322 , 0 , 0 , 19.8 , 0 
2014-05-27,00:04:10, 13 , 461.5 , 98.6 , 12.7 , 102.1 , 12.2 , 12.4 , 19.9 , 0 , 0 , 461.5 , 0 ,
2014-05-27,00:05:09, 1 ,-51.1 , 1 , 462.1 , 81.5 , 1 , 1 ,-7.1 , 0 , 458 , 13.3 , 1.002348 , 0 , 0 , 20.8 , 0 
2014-05-27,00:05:09, 2 ,-51.1 , 1 , 466.3 , 85.6 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.3 , 1.011477 , 0 , 0 , 19.9 , 0 
2014-05-27,00:05:09, 3 , 16.2 , 1 , 465.7 , 81.9 , 1 , 1 ,-7.1 , 0 , 462.7 , 13.2 , 0.5226415 , 0 , 0 , 18.1 , 0 
2014-05-27,00:05:09, 4 , 16.7 , 1 , 457.7 , 73.4 , 1 , 1 ,-7.1 , 0 , 455.6 , 13.1 , 1.017103 , 0 , 0 ,-51.1 , 0 
2014-05-27,00:05:09, 5 , 150 , 1 , 460.8 , 74 , 1 , 1 ,-7.1 , 0 , 460.3 , 13.1 , 1.017877 , 0 , 0 , 19.7 , 0 
2014-05-27,00:05:09, 6 , 16.1 , 1 , 459.4 , 88 , 1 , 1 ,-7.1 , 0 , 450.9 , 13.6 , 0.5237748 , 0 , 0 , 17.9 , 0 
2014-05-27,00:05:09, 7 , 13.7 , 1 , 469.7 , 58.7 , 1 , 1 ,-7.1 , 720 , 465 , 15.6 , 0.5007772 , 2 , 3.62 , 16.2 , 0 
2014-05-27,00:05:09, 8 ,-51.1 , 1 , 485.8 , 86 , 1 , 1 ,-7.1 , 0 , 479.1 , 16.1 , 0.474409 , 0 , 0 , 16.7 , 0 
2014-05-27,00:05:09, 9 ,-51.1 , 1 , 468.8 , 66.4 , 1 , 1 ,-7.1 , 408.2 , 462.7 , 14.9 , 1.003837 , 2 , 4.08 , 16.7 , 0 
