date, time, chamber,TA,Null,CO2L,DiffP,TS,Null,SoilM,CO2Flow,CO2CChamb,DPCChamb,LCO2slope,ValveTime,CondWater,TBox,doorcnt
2014-05-29,00:00:10, 1 ,-51.1 , 1 , 802.3 ,-17.3 , 1 , 1 ,-7.1 , 0 , 813.8 , 9.2 , 1.007881 , 0 , 0 , 19 , 0 
2014-05-29,00:00:10, 2 ,-51.1 , 1 , 711.1 ,-8.2 , 1 , 1 ,-7.1 , 0 , 718.7 , 8.9 , 1.004318 , 0 , 0 , 18.3 , 0 
2014-05-29,00:00:10, 3 , 16.2 , 1 , 633.5 ,-4.1 , 1 , 1 ,-7.1 , 0 , 642.3 , 8.6 , 0.5071824 , 0 , 0 , 16.2 , 0 
2014-05-29,00:00:10, 4 , 16.9 , 1 , 489.2 ,-5.9 , 1 , 1 ,-7.1 , 0 , 493.2 , 9.4 , 1.006643 , 0 , 0 ,-51.1 , 0 
2014-05-29,00:00:10, 5 , 150 , 1 , 775.7 ,-4.7 , 1 , 1 ,-7.1 , 0 , 783.3 , 8.6 , 1.012685 , 0 , 0 , 17.5 , 0 
2014-05-29,00:00:10, 6 , 16.2 , 1 , 734.7 ,-10.1 , 1 , 1 ,-7.1 , 0 , 742.2 , 10.9 , 0.5130751 , 0 , 0 , 16.1 , 0 
2014-05-29,00:00:10, 7 , 16.3 , 1 , 719.6 ,-7.9 , 1 , 1 ,-7.1 , 0 , 724.6 , 6.6 , 0.4849357 , 0 , 3.62 , 14.9 , 0 
2014-05-29,00:00:10, 8 ,-51.1 , 1 , 681.1 ,-10.4 , 1 , 1 ,-7.1 , 0 , 685.8 , 7.2 , 0.4630352 , 0 , 0 , 14.1 , 0 
2014-05-29,00:00:10, 9 ,-51.1 , 1 , 605.5 ,-1.8 , 1 , 1 ,-7.1 , 0 , 615.3 , 7.1 , 1.002509 , 0 , 0 , 15.6 , 0 
2014-05-29,00:00:10, 10 , 15.9 , 1 , 509.7 , 0.9 , 1 , 1 ,-7.1 , 0 , 521.4 , 6.9 , 0.9955469 , 0 , 0 , 17 , 0 
2014-05-29,00:00:10, 11 , 16 , 1 , 642 ,-5.8 , 1 , 1 ,-7.1 , 0 , 650.6 , 6.8 , 1.010999 , 0 , 0 , 17.9 , 0 
2014-05-29,00:00:10, 12 ,-18.7 , 1 , 681.5 ,-4 , 1 , 1 ,-7.1 , 0 , 690.5 , 7.8 , 1.012687 , 0 , 0 , 17.2 , 0 
2014-05-29,00:00:10, 13 , 421.6 , 83.9 , 10.8 , 102 , 7.3 , 10.7 , 17.6 , 0 , 0 , 421.6 , 0 ,
2014-05-29,00:01:09, 1 ,-51.1 , 1 , 801.3 ,-17.1 , 1 , 1 ,-7.1 , 0 , 813.8 , 9.2 , 1.007881 , 0 , 0 , 19 , 0 
2014-05-29,00:01:09, 2 ,-51.1 , 1 , 711.1 ,-8 , 1 , 1 ,-7.1 , 0 , 718.7 , 8.9 , 1.004318 , 0 , 0 , 18.3 , 0 
2014-05-29,00:01:09, 3 , 16.5 , 1 , 631.9 ,-4.1 , 1 , 1 ,-7.1 , 0 , 642.3 , 8.6 , 0.5071824 , 0 , 0 , 16.2 , 0 
2014-05-29,00:01:09, 4 , 16.8 , 1 , 488.2 ,-5.9 , 1 , 1 ,-7.1 , 0 , 493.2 , 9.4 , 1.006643 , 0 , 0 ,-51.1 , 0 
2014-05-29,00:01:09, 5 , 150 , 1 , 774.7 ,-4.7 , 1 , 1 ,-7.1 , 0 , 783.3 , 8.6 , 1.012685 , 0 , 0 , 17.5 , 0 
2014-05-29,00:01:09, 6 , 16.2 , 1 , 734.7 ,-10.1 , 1 , 1 ,-7.1 , 0 , 742.2 , 10.9 , 0.5130751 , 0 , 0 , 16.1 , 0 
2014-05-29,00:01:09, 7 , 16.2 , 1 , 719.2 ,-7.9 , 1 , 1 ,-7.1 , 0 , 724.6 , 6.6 , 0.4849357 , 0 , 0 , 14.9 , 0 
2014-05-29,00:01:09, 8 ,-51.1 , 1 , 680.2 ,-10.4 , 1 , 1 ,-7.1 , 0 , 685.8 , 7.2 , 0.4630352 , 0 , 0 , 14.1 , 0 
2014-05-29,00:01:09, 9 ,-51.1 , 1 , 604.5 ,-1.8 , 1 , 1 ,-7.1 , 0 , 607.1 , 7.1 , 1.002887 , 0 , 0 , 15.6 , 0 
2014-05-29,00:01:09, 10 , 15.9 , 1 , 509.7 , 0.7 , 1 , 1 ,-7.1 , 0 , 521.4 , 6.9 , 0.9955469 , 0 , 0 , 17 , 0 
2014-05-29,00:01:09, 11 , 16.2 , 1 , 641 ,-5.8 , 1 , 1 ,-7.1 , 0 , 650.6 , 6.8 , 1.010999 , 0 , 0 , 17.9 , 0 
2014-05-29,00:01:09, 12 ,-18.7 , 1 , 680.5 ,-4 , 1 , 1 ,-7.1 , 0 , 690.5 , 7.8 , 1.012687 , 0 , 0 , 17.2 , 0 
2014-05-29,00:01:09, 13 , 607.1 , 83.3 , 10.8 , 102 , 7.3 , 10.6 , 17.6 , 0 , 0 , 421.6 , 0 ,
2014-05-29,00:02:10, 1 ,-51.1 , 1 , 801.3 ,-17.1 , 1 , 1 ,-7.1 , 0 , 813.8 , 9.2 , 1.007881 , 0 , 0 , 19 , 0 
2014-05-29,00:02:10, 2 ,-51.1 , 1 , 710.1 ,-8 , 1 , 1 ,-7.1 , 0 , 718.7 , 8.9 , 1.004318 , 0 , 0 , 18.3 , 0 
2014-05-29,00:02:10, 3 , 16.2 , 1 , 631.4 ,-4.1 , 1 , 1 ,-7.1 , 0 , 642.3 , 8.6 , 0.5071824 , 0 , 0 , 16.2 , 0 
2014-05-29,00:02:10, 4 , 16.9 , 1 , 488.2 ,-5.9 , 1 , 1 ,-7.1 , 0 , 493.2 , 9.4 , 1.006643 , 0 , 0 ,-51.1 , 0 
2014-05-29,00:02:10, 5 , 150 , 1 , 773.7 ,-4.9 , 1 , 1 ,-7.1 , 0 , 783.3 , 8.6 , 1.012685 , 0 , 0 , 17.5 , 0 
2014-05-29,00:02:10, 6 , 16.2 , 1 , 733.7 ,-10.1 , 1 , 1 ,-7.1 , 0 , 742.2 , 10.9 , 0.5130751 , 0 , 0 , 16.1 , 0 
2014-05-29,00:02:10, 7 , 16.2 , 1 , 719.2 ,-7.7 , 1 , 1 ,-7.1 , 0 , 724.6 , 6.6 , 0.4849357 , 0 , 0 , 14.9 , 0 
2014-05-29,00:02:10, 8 ,-51.1 , 1 , 680.2 ,-10.4 , 1 , 1 ,-7.1 , 0 , 685.8 , 7.2 , 0.4630352 , 0 , 0 , 14.1 , 0 
2014-05-29,00:02:10, 9 ,-51.1 , 1 , 603.7 ,-1.8 , 1 , 1 ,-7.1 , 0 , 607.1 , 7.1 , 1.002887 , 0 , 0 , 15.6 , 0 
2014-05-29,00:02:10, 10 , 15.9 , 1 , 508.7 , 0.7 , 1 , 1 ,-7.1 , 0 , 512 , 6.9 , 0.9969537 , 0 , 0 , 17 , 0 
2014-05-29,00:02:10, 11 , 16 , 1 , 641 ,-5.8 , 1 , 1 ,-7.1 , 0 , 650.6 , 6.8 , 1.010999 , 0 , 0 , 17.9 , 0 
2014-05-29,00:02:10, 12 ,-18.7 , 1 , 679.5 ,-4.1 , 1 , 1 ,-7.1 , 0 , 690.5 , 7.8 , 1.012687 , 0 , 0 , 17.2 , 0 
2014-05-29,00:02:10, 13 , 512 , 83.9 , 10.8 , 102 , 7.3 , 10.6 , 17.6 , 0 , 0.5 , 421.6 , 0 ,
2014-05-29,00:03:10, 1 ,-51.1 , 1 , 799.2 ,-17.1 , 1 , 1 ,-7.1 , 0 , 813.8 , 9.2 , 1.007881 , 0 , 0 , 19 , 0 
2014-05-29,00:03:10, 2 ,-51.1 , 1 , 709 ,-8 , 1 , 1 ,-7.1 , 0 , 718.7 , 8.9 , 1.004318 , 0 , 0 , 18.3 , 0 
2014-05-29,00:03:10, 3 , 16.5 , 1 , 630.4 ,-4.1 , 1 , 1 ,-7.1 , 0 , 642.3 , 8.6 , 0.5071824 , 0 , 0 , 16.2 , 0 
2014-05-29,00:03:10, 4 , 16.8 , 1 , 486.2 ,-5.9 , 1 , 1 ,-7.1 , 0 , 493.2 , 9.4 , 1.006643 , 0 , 0 ,-51.1 , 0 
2014-05-29,00:03:10, 5 , 150 , 1 , 771.7 ,-4.9 , 1 , 1 ,-7.1 , 0 , 783.3 , 8.6 , 1.012685 , 0 , 0 , 17.5 , 0 
2014-05-29,00:03:10, 6 , 16.2 , 1 , 733.2 ,-10.1 , 1 , 1 ,-7.1 , 0 , 742.2 , 10.9 , 0.5130751 , 0 , 0 , 16.1 , 0 
2014-05-29,00:03:10, 7 , 16.2 , 1 , 719.2 ,-7.9 , 1 , 1 ,-7.1 , 0 , 724.6 , 6.6 , 0.4849357 , 0 , 0 , 14.9 , 0 
2014-05-29,00:03:10, 8 ,-51.1 , 1 , 678.8 ,-10.4 , 1 , 1 ,-7.1 , 0 , 685.8 , 7.2 , 0.4630352 , 0 , 0 , 14.1 , 0 
2014-05-29,00:03:10, 9 ,-51.1 , 1 , 603.7 ,-1.8 , 1 , 1 ,-7.1 , 0 , 607.1 , 7.1 , 1.002887 , 0 , 0 , 15.6 , 0 
2014-05-29,00:03:10, 10 , 15.9 , 1 , 509.4 , 0.7 , 1 , 1 ,-7.1 , 0 , 512 , 6.9 , 0.9969537 , 0 , 0 , 17 , 0 
2014-05-29,00:03:10, 11 , 16.2 , 1 , 640 ,-5.8 , 1 , 1 ,-7.1 , 0 , 641.2 , 6.8 , 1.010369 , 0 , 0 , 17.9 , 0 
2014-05-29,00:03:10, 12 ,-18.7 , 1 , 679.5 ,-4.1 , 1 , 1 ,-7.1 , 0 , 690.5 , 7.8 , 1.012687 , 0 , 0 , 17.2 , 0 
2014-05-29,00:03:10, 13 , 641.2 , 83.9 , 10.8 , 102 , 7.3 , 10.6 , 17.6 , 0 , 0.5 , 421.6 , 0 ,
2014-05-29,00:04:10, 1 ,-51.1 , 1 , 798.2 ,-17.1 , 1 , 1 ,-7.1 , 0 , 813.8 , 9.2 , 1.007881 , 0 , 0 , 19 , 0 
2014-05-29,00:04:10, 2 ,-51.1 , 1 , 708 ,-8 , 1 , 1 ,-7.1 , 0 , 718.7 , 8.9 , 1.004318 , 0 , 0 , 18.3 , 0 
2014-05-29,00:04:10, 3 , 16.2 , 1 , 629.9 ,-4.1 , 1 , 1 ,-7.1 , 0 , 642.3 , 8.6 , 0.5071824 , 0 , 0 , 16.2 , 0 
2014-05-29,00:04:10, 4 , 17 , 1 , 486.2 ,-5.9 , 1 , 1 ,-7.1 , 0 , 493.2 , 9.4 , 1.006643 , 0 , 0 ,-51.1 , 0 
2014-05-29,00:04:10, 5 , 150 , 1 , 770.7 ,-4.9 , 1 , 1 ,-7.1 , 0 , 783.3 , 8.6 , 1.012685 , 0 , 0 , 17.5 , 0 
2014-05-29,00:04:10, 6 , 16.2 , 1 , 731.1 ,-10.1 , 1 , 1 ,-7.1 , 0 , 742.2 , 10.9 , 0.5130751 , 0 , 0 , 16.1 , 0 
